Transaction_ID,Date_ID,Customer_ID,Merchant_ID,Payment_Method_ID,Location_ID,Transaction_Amount,Transaction_Status,Transaction_Reference
1,20240624,13,50,2,6,60.88,Success,TXN0323947703
2,20241110,267,65,1,7,1303.71,Success,TXN6785882459
3,20240819,15,63,1,3,1670.2,Success,TXN9743596072
4,20241124,29,160,1,1,459.28,Success,TXN0774443441
5,20240324,372,138,1,4,1766.63,Success,TXN4869663137
6,20260611,161,133,1,5,21562.19,Success,TXN3068284343
7,20240714,461,47,1,8,333.42,Success,TXN2983436921
8,20250122,214,95,1,9,1779.64,Success,TXN7203214510
9,20260430,432,91,1,1,876.86,Success,TXN2259851175
10,20240328,360,31,4,10,7910.89,Success,TXN2768718483
11,20260809,92,37,2,2,1117.27,Success,TXN0229846614
12,20240116,124,125,4,9,1958.35,Success,TXN0825670947
13,20240902,169,46,2,7,3268.32,Success,TXN6500714668
14,20260521,173,133,1,4,359.63,Success,TXN3660147578
15,20261024,464,130,1,5,347.35,Success,TXN1426234500
16,20250707,401,171,1,5,605.68,Success,TXN3195182081
17,20240627,379,81,1,9,169.5,Success,TXN6388563706
18,20240721,351,28,4,6,332.67,Success,TXN3585708672
19,20241106,85,199,1,3,322.51,Success,TXN7226265953
20,20240311,347,20,6,7,202.72,Success,TXN5521359969
21,20260123,344,159,6,1,2852.74,Success,TXN8728159816
22,20250623,455,103,1,7,2085.88,Success,TXN6228286124
23,20250627,151,177,1,4,889.3,Success,TXN5459613946
24,20240529,301,134,3,7,72.77,Success,TXN9887713681
25,20241111,116,191,1,2,1036.51,Success,TXN9272421558
26,20240929,470,73,3,8,1770.49,Success,TXN6472076081
27,20240415,31,43,1,1,6290.96,Success,TXN0368224365
28,20250325,461,60,2,2,198.15,Success,TXN4606334369
29,20241026,59,161,4,3,5845.53,Success,TXN6824364275
30,20261021,254,14,5,2,1639.5,Success,TXN9274320043
31,20250114,197,153,6,7,456.66,Success,TXN4162308127
32,20240107,289,2,6,3,379.4,Success,TXN5506964973
33,20240726,177,121,3,3,301.52,Success,TXN6545196265
34,20240616,385,77,3,4,212.87,Failed,TXN3651365597
35,20260512,23,162,1,4,176.17,Success,TXN8754181124
36,20240605,278,79,1,10,360.72,Success,TXN7098287657
37,20250205,194,90,1,8,213.77,Success,TXN4938151238
38,20250912,90,81,3,4,1641.36,Success,TXN2102141255
39,20240617,116,120,1,9,24852.06,Success,TXN2717695488
40,20250513,32,86,2,7,4854.63,Success,TXN0399205445
41,20260222,179,150,1,3,5489.33,Success,TXN3884982862
42,20260312,132,173,1,3,8005.19,Success,TXN1151918406
43,20241011,284,178,4,5,9776.09,Success,TXN4690970390
44,20260222,461,112,1,1,23142.49,Success,TXN2495082956
45,20250608,386,174,4,6,792.03,Success,TXN6688685934
46,20241203,448,143,1,6,4948.57,Success,TXN2180207627
47,20240104,409,139,3,6,1916.93,Success,TXN5584201365
48,20250713,193,119,2,3,4993.83,Success,TXN5884248988
49,20240315,246,88,1,4,632.51,Success,TXN6935316032
50,20260109,70,41,5,9,14167.27,Success,TXN4614342997
51,20240818,200,134,6,7,29941.57,Success,TXN2094111339
52,20250708,305,193,3,2,28297.32,Success,TXN8947333078
53,20260607,379,153,4,1,311.86,Success,TXN7347961563
54,20260716,106,150,1,9,116.39,Success,TXN8821708511
